Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
CL,2025-09-16,Athletic Club,Arsenal FC,0,2,A
CL,2025-09-16,PSV,Royale Union Saint-Gilloise,1,3,A
CL,2025-09-16,Juventus FC,Borussia Dortmund,4,4,D
CL,2025-09-16,Sport Lisboa e Benfica,Qarabağ Ağdam FK,2,3,A
CL,2025-09-16,Tottenham Hotspur FC,Villarreal CF,1,0,H
CL,2025-09-16,Real Madrid CF,Olympique de Marseille,2,1,H
CL,2025-09-17,SK Slavia Praha,FK Bodø/Glimt,2,2,D
CL,2025-09-17,PAE Olympiakos SFP,Paphos FC,0,0,D
CL,2025-09-17,AFC Ajax,FC Internazionale Milano,0,2,A
CL,2025-09-17,Liverpool FC,Club Atlético de Madrid,3,2,H
CL,2025-09-17,Paris Saint-Germain FC,Atalanta BC,4,0,H
CL,2025-09-17,FC Bayern München,Chelsea FC,3,1,H
CL,2025-09-18,FC København,Bayer 04 Leverkusen,2,2,D
CL,2025-09-18,Club Brugge KV,AS Monaco FC,4,1,H
CL,2025-09-18,Newcastle United FC,FC Barcelona,1,2,A
CL,2025-09-18,Manchester City FC,SSC Napoli,2,0,H
CL,2025-09-18,Eintracht Frankfurt,Galatasaray SK,5,1,H
CL,2025-09-18,Sporting Clube de Portugal,FK Kairat,4,1,H
CL,2025-09-30,Atalanta BC,Club Brugge KV,2,1,H
CL,2025-09-30,FK Kairat,Real Madrid CF,0,5,A
CL,2025-09-30,Galatasaray SK,Liverpool FC,1,0,H
CL,2025-09-30,Club Atlético de Madrid,Eintracht Frankfurt,5,1,H
CL,2025-09-30,Olympique de Marseille,AFC Ajax,4,0,H
CL,2025-09-30,FK Bodø/Glimt,Tottenham Hotspur FC,2,2,D
CL,2025-09-30,Paphos FC,FC Bayern München,1,5,A
CL,2025-09-30,Chelsea FC,Sport Lisboa e Benfica,1,0,H
CL,2025-09-30,FC Internazionale Milano,SK Slavia Praha,3,0,H
CL,2025-10-01,Qarabağ Ağdam FK,FC København,2,0,H
CL,2025-10-01,Royale Union Saint-Gilloise,Newcastle United FC,0,4,A
CL,2025-10-01,Borussia Dortmund,Athletic Club,4,1,H
CL,2025-10-01,FC Barcelona,Paris Saint-Germain FC,1,2,A
CL,2025-10-01,AS Monaco FC,Manchester City FC,2,2,D
CL,2025-10-01,Bayer 04 Leverkusen,PSV,1,1,D
CL,2025-10-01,Arsenal FC,PAE Olympiakos SFP,2,0,H
CL,2025-10-01,Villarreal CF,Juventus FC,2,2,D
CL,2025-10-01,SSC Napoli,Sporting Clube de Portugal,2,1,H
CL,2025-10-21,FC Barcelona,PAE Olympiakos SFP,6,1,H
CL,2025-10-21,FK Kairat,Paphos FC,0,0,D
CL,2025-10-21,Royale Union Saint-Gilloise,FC Internazionale Milano,0,4,A
CL,2025-10-21,FC København,Borussia Dortmund,2,4,A
CL,2025-10-21,Bayer 04 Leverkusen,Paris Saint-Germain FC,2,7,A
CL,2025-10-21,Villarreal CF,Manchester City FC,0,2,A
CL,2025-10-21,Arsenal FC,Club Atlético de Madrid,4,0,H
CL,2025-10-21,Newcastle United FC,Sport Lisboa e Benfica,3,0,H
CL,2025-10-21,PSV,SSC Napoli,6,2,H
CL,2025-10-22,Galatasaray SK,FK Bodø/Glimt,3,1,H
CL,2025-10-22,Athletic Club,Qarabağ Ağdam FK,3,1,H
CL,2025-10-22,Eintracht Frankfurt,Liverpool FC,1,5,A
CL,2025-10-22,Atalanta BC,SK Slavia Praha,0,0,D
CL,2025-10-22,Sporting Clube de Portugal,Olympique de Marseille,2,1,H
CL,2025-10-22,AS Monaco FC,Tottenham Hotspur FC,0,0,D
CL,2025-10-22,FC Bayern München,Club Brugge KV,4,0,H
CL,2025-10-22,Chelsea FC,AFC Ajax,5,1,H
CL,2025-10-22,Real Madrid CF,Juventus FC,1,0,H
CL,2025-11-04,SK Slavia Praha,Arsenal FC,0,3,A
CL,2025-11-04,SSC Napoli,Eintracht Frankfurt,0,0,D
CL,2025-11-04,Juventus FC,Sporting Clube de Portugal,1,1,D
CL,2025-11-04,Club Atlético de Madrid,Royale Union Saint-Gilloise,3,1,H
CL,2025-11-04,Tottenham Hotspur FC,FC København,4,0,H
CL,2025-11-04,FK Bodø/Glimt,AS Monaco FC,0,1,A
CL,2025-11-04,PAE Olympiakos SFP,PSV,1,1,D
CL,2025-11-04,Paris Saint-Germain FC,FC Bayern München,1,2,A
CL,2025-11-04,Liverpool FC,Real Madrid CF,1,0,H
CL,2025-11-05,Paphos FC,Villarreal CF,1,0,H
CL,2025-11-05,Qarabağ Ağdam FK,Chelsea FC,2,2,D
CL,2025-11-05,FC Internazionale Milano,FK Kairat,2,1,H
CL,2025-11-05,Manchester City FC,Borussia Dortmund,4,1,H
CL,2025-11-05,Club Brugge KV,FC Barcelona,3,3,D
CL,2025-11-05,Sport Lisboa e Benfica,Bayer 04 Leverkusen,0,1,A
CL,2025-11-05,Olympique de Marseille,Atalanta BC,0,1,A
CL,2025-11-05,AFC Ajax,Galatasaray SK,0,3,A
CL,2025-11-05,Newcastle United FC,Athletic Club,2,0,H
CL,2025-11-25,AFC Ajax,Sport Lisboa e Benfica,0,2,A
CL,2025-11-25,Galatasaray SK,Royale Union Saint-Gilloise,0,1,A
CL,2025-11-25,Borussia Dortmund,Villarreal CF,4,0,H
CL,2025-11-25,Manchester City FC,Bayer 04 Leverkusen,0,2,A
CL,2025-11-25,FK Bodø/Glimt,Juventus FC,2,3,A
CL,2025-11-25,Olympique de Marseille,Newcastle United FC,2,1,H
CL,2025-11-25,SK Slavia Praha,Athletic Club,0,0,D
